Language,year,speakers
Mandarin,2011,336177
Arabic ,2011,287166
Vietnamese,2011,233387
Cantonese,2011,263540
Punjabi,2011,71229
Greek,2011,252218
Italian,2011,299832
Hindi,2011,111354
Spanish ,2011,117491
Nepali,2011,27153
Mandarin,2016,596381
Arabic ,2016,321718
Vietnamese,2016,277388
Cantonese,2016,280873
Punjabi,2016,132490
Greek,2016,237591
Italian,2016,271586
Hindi,2016,159642
Spanish ,2016,140805
Nepali,2016,62004
Mandarin,2021,685031
Arabic ,2021,367150
Vietnamese,2021,320751
Cantonese,2021,295221
Punjabi,2021,239028
Greek,2021,229638
Italian,2021,228044
Hindi,2021,197128
Spanish ,2021,171358
Nepali,2021,133068
