State,Language,Speakers
New South Wales,Cantonese,148943
Victoria,Cantonese,82432
Queensland,Cantonese,27437
South Australia,Cantonese,10166
Australian Capital Territory,Cantonese,4230
Northern Territory,Cantonese,803
Tasmania,Cantonese,1536
Western Australia,Cantonese,19683
New South Wales,Mandarin,270685
Victoria,Mandarin,221798
Queensland,Mandarin,83607
South Australia,Mandarin,32133
Australian Capital Territory,Mandarin,14397
Northern Territory,Mandarin,2526
Tasmania,Mandarin,8129
Western Australia,Mandarin,51751
New South Wales,Vietnamese,117907
Victoria,Vietnamese,118801
Queensland,Vietnamese,31370
South Australia,Vietnamese,21855
Australian Capital Territory,Vietnamese,5028
Northern Territory,Vietnamese,1565
Tasmania,Vietnamese,1467
Western Australia,Vietnamese,22763
New South Wales,Arabic,227243
Victoria,Arabic,91441
Queensland,Arabic,16171
South Australia,Arabic,11033
Australian Capital Territory,Arabic,3867
Northern Territory,Arabic,427
Tasmania,Arabic,972
Western Australia,Arabic,16000
New South Wales,Hindi,80051
Victoria,Hindi,66930
Queensland,Hindi,21344
South Australia,Hindi,9884
Australian Capital Territory,Hindi,4769
Northern Territory,Hindi,969
Tasmania,Hindi,1284
Western Australia,Hindi,11896
New South Wales,Punjabi,53460
Victoria,Punjabi,104949
Queensland,Punjabi,30873
South Australia,Punjabi,20004
Australian Capital Territory,Punjabi,5019
Northern Territory,Punjabi,1563
Tasmania,Punjabi,2556
Western Australia,Punjabi,20613
New South Wales,Nepali,68148
Victoria,Nepali,21955
Queensland,Nepali,12060
South Australia,Nepali,9671
Australian Capital Territory,Nepali,5859
Northern Territory,Nepali,3099
Tasmania,Nepali,7248
Western Australia,Nepali,5038
New South Wales,Greek,78691
Victoria,Greek,107158
Queensland,Greek,10475
South Australia,Greek,21882
Australian Capital Territory,Greek,2527
Northern Territory,Greek,3258
Tasmania,Greek,1126
Western Australia,Greek,4520
New South Wales,Italian,64039
Victoria,Italian,92320
Queensland,Italian,17989
South Australia,Italian,23828
Australian Capital Territory,Italian,2816
Northern Territory,Italian,668
Tasmania,Italian,954
Western Australia,Italian,25432
New South Wales,Spanish,71868
Victoria,Spanish,43181
Queensland,Spanish,29642
South Australia,Spanish,7273
Australian Capital Territory,Spanish,4122
Northern Territory,Spanish,748
Tasmania,Spanish,1571
Western Australia,Spanish,12958
